customer_id,name,Recency,Frequency,Monetary,RFM_Score
906,Jay Johnson,246,2,554.17,131
913,Lisa Bean,491,2,302.39,131
917,Timothy Moody,27,2,130.88,431
922,Russell Davis,40,2,399.42,431
924,Michelle Price,9,2,2861.19,535
931,James Newman,36,4,1163.39,453
932,Jonathan Rivera,32,2,549.19,431
939,Karl May,158,2,1503.38,233
961,Alexandra Robinson,26,2,635.02,432
962,James Williams,82,4,814.11,352
967,Stephen Spencer,425,2,1327.91,133
969,Julia Williamson,22,2,1393.59,433
971,Allen Moran,25,2,905.39,432
972,Daniel Ward,26,4,277.83,451
979,Morgan Cohen,40,7,1201.54,453
984,Amber Barrett,375,2,1294.44,133
991,Rachel Mills,104,2,819.42,232
997,Cristina Evans,31,2,2111.92,434
999,Zachary Perez,28,3,1190.94,443
